confusion_pair,true_label,predicted_label,post,annotation,notes
Grievance → Incitement,Grievance,Incitement,her whole twitter history is crying about white people to white people on white peoples invented technology in our white founded country .,,
Grievance → Incitement,Grievance,Incitement,and germany is beating sweden in the race for white survival ! !,,
Grievance → Incitement,Grievance,Incitement," try thinking of some of our ideas & replace jews do .. w  "" "" white males "" "" shouldn't & think .. """,,
Grievance → Incitement,Grievance,Incitement,non whites already have groups to help them . the federal government  for instance .,,
Grievance → Incitement,Grievance,Incitement,indiana in washington dc to demand an end to the replacement of european americans !,,
Grievance → Incitement,Grievance,Incitement," #altrightmeans  "" white supremacy "" "" is a recognition of white quality  and "" "" white privilege "" "" is simply white achievement . """,,
Grievance → Incitement,Grievance,Incitement,pastor mealy mouth should be reminded that white people did more to spread christianity than any other race !,,
Grievance → Incitement,Grievance,Incitement,why your white be proud of your own race and look out for your own race just like obama looked out just for his own race,,
Grievance → Incitement,Grievance,Incitement,cuckservatives : yes  the alt-right are just a bunch ofracists,,
Grievance → Incitement,Grievance,Incitement,. will black people abdicate power and invite white people to repopulate #detroit ? #tcot #helpuswhitepeople #facingrace,,
Grievance → Incitement,Grievance,Incitement,cuomo : do you like you ny state now  without white heterosexual christian republicans ?,,
Grievance → Incitement,Grievance,Incitement," rt :  "" i live in belfast ireland . i am an indigenous white celt . every week i see more and more non white "" "" 911 h ... """,,
Grievance → Incitement,Grievance,Incitement,002 no country for white nationalist 2016-9- 20 by race and nation #fascism #nationalsocialism #altright #whitepride,,
Grievance → Incitement,Grievance,Incitement,so there is a pro-white and anti-white side . i choose pro .,,
Grievance → Incitement,Grievance,Incitement," everyone isn't  "" comingling "" "" only white people and white countries have to "" "" comingle "" "" """,,
Grievance → Incitement,Grievance,Incitement,telling it like it is  as always : be not ashamed  white male via,,
Grievance → Incitement,Grievance,Incitement,yeah hopefully sweden can b saved . america is a lost cause few white people stand up .,,
Grievance → Incitement,Grievance,Incitement,in chicago  there are billboards and benches in spanish  letting illegals know they have a right to not talk to immigration,,
Grievance → Incitement,Grievance,Incitement,think for yourself for a change . i bet you think blm and antifa are peaceful .,,
Grievance → Incitement,Grievance,Incitement,get the white man #liberalismin4words,,
Grievance → Incitement,Grievance,Incitement,: free save white people manual :,,
Grievance → Incitement,Grievance,Incitement,sweden  once a proud scandinavian country  has fallen to disgrace . americans  hold on to your heritage ! there is hope !,,
Grievance → Stereotypes,Grievance,Stereotypes," you're lying brazenly & you accuse us of  "" hate "" "" ? it is not hate to oppose jihad terror vs . ahmadis """,,
Grievance → Stereotypes,Grievance,Stereotypes,absolutely  jews keep dying at the hands of white jews in order for the few je,,
Grievance → Stereotypes,Grievance,Stereotypes,oprah knows what to do: kill white people ! ! ! #altrightrecent black on white and black on asian murders with oprah !,,
Grievance → Stereotypes,Grievance,Stereotypes,fixation of jewish ppl as cause is just like when sjw blame white race 4 all harm,,
Grievance → Stereotypes,Grievance,Stereotypes,but you keep the jew as whites to help bolster your per capita numbers ... not once have you complained about jews being listed white,,
Grievance → Stereotypes,Grievance,Stereotypes,jew killed by a non jew in isreal there is outrage . white children killed by non whites in a white country ; silence .,,
Grievance → Stereotypes,Grievance,Stereotypes,the southern poverty law center almost got me killed . why does the media still propagate its hate map ?,,
Grievance → Stereotypes,Grievance,Stereotypes,jew caught and tortured rudolkf hoess : uncle ...,,
Grievance → Stereotypes,Grievance,Stereotypes,u realize all cultures captured n made slaves  that jew / arabs sold them n that white peopl,,
Grievance → Stereotypes,Grievance,Stereotypes,they are both jewish supremacist  anti-white and anti-christian hate groups .,,
Grievance → Stereotypes,Grievance,Stereotypes,not surprised . liberals & islamists biggest threat to india . oh & add indian main stream media to it as well,,
Grievance → Stereotypes,Grievance,Stereotypes,not to mention jews are listed as whites  so the white per capita number is already distorted ...,,
Grievance → Stereotypes,Grievance,Stereotypes,- poland is looking to protect its people.muslims bring with them the baggage of islam . this poses a potential threat .,,
Grievance → Stereotypes,Grievance,Stereotypes,so is the white hating  jew hating cult  the nation of islam . what's your point ?,,
Grievance → Inferiority,Grievance,Inferiority,and the fact that there were more white slaves in the middle east than black slaves in america,,
Grievance → Inferiority,Grievance,Inferiority,what they want is of little value in a land swarming with hostile non whites . race first ! all else is dross !,,
Grievance → Inferiority,Grievance,Inferiority,the evil bastard? what should i say? i feel sick. and now islam? good help us..,,
Grievance → Inferiority,Grievance,Inferiority,suburbs are actually just well-constructed refugee camps for white people #altright,,
Grievance → Inferiority,Grievance,Inferiority,"You only got into [my university] because you're Native American AND Mexican. I had to work harder to get into this same honors program, and that's not fair.",,
Grievance → Inferiority,Grievance,Inferiority,agreed . the white race has built and invented every aspect of modern civilisation .,,
Grievance → Inferiority,Grievance,Inferiority,bcs in this hell hole state. illegals have more rights than citizens.,,
Grievance → Inferiority,Grievance,Inferiority,yes . a racist of the highest kind ; a screwball feminist ; a windbag who was able to suck in female followers . yes .,,
Grievance → Threats,Grievance,Threats,then raise taxes on the rich dems/repubs in congress who vote for this. no healthcare for illegals!!!,,
Grievance → Threats,Grievance,Threats,this has got to stop! petition2fire lopez attempt 2indoctrinate our kids!,,
Grievance → Threats,Grievance,Threats,"border security is irrelevant. only raise plus e-verify, together, is valuable enough to trade for """"dreamer"""" amnesty. else it's '86 again.",,
Grievance → Threats,Grievance,Threats,fucking pay to send their ass back to where they came from. give to the veterans!,,
Grievance → Threats,Grievance,Threats,ct congress better enforce immigration law or quit giving them our tax money. gosh sakes,,
Grievance → Threats,Grievance,Threats,#india dear pm pl deport all 40k illegal #rohingya muslims w / o fail . #india is not an orphanage.we don't want terrorists,,
Grievance → Threats,Grievance,Threats,the humanitarian crisis & the coming crime wave in u.s. cities stop the #amnesty nightmare!,,
Grievance → Threats,Grievance,Threats,"as a legal immigrant who hd 2 hv a job, a sponsor, no govt help for 5 yrs, this is music 2 my taxpaying ears! it's time 2 end the free ride",,
Incitement → Grievance,Incitement,Grievance,nonsense . monuments to evil still remain . washington jefferson they owned slaves it's good . white race might will never die due to ignorance,,
Incitement → Grievance,Incitement,Grievance,xenophobia is not immoral . it's used an an insult and a way to try to shame people about their natural patterns of thought .,,
Incitement → Grievance,Incitement,Grievance,the white race is generous to a fault . non-whites take advantage of that all the time  then hate white people out of envy .,,
Incitement → Grievance,Incitement,Grievance,heather heyer is a martyr to a big fat lie concocted by the anti white liberal media & th,,
Incitement → Grievance,Incitement,Grievance,"  "" : new zealand : white faces will soon be a minority via "" "" """,,
Incitement → Grievance,Incitement,Grievance,: us will have a civil war . stupid white libs who call white people privileged and racist,,
Incitement → Grievance,Incitement,Grievance,you can expel white muslims too ! white christians is pretty much the basis of the identity .,,
Incitement → Grievance,Incitement,Grievance,pro-whites r the target . antifa are tools of the system . further  antifa / blm are terrorist,,
Incitement → Grievance,Incitement,Grievance,are you a student and sick of the #antiwhite message on campus ? john us . #projectsiege,,
Incitement → Grievance,Incitement,Grievance,it's not okay to be white ... it's glorious .,,
Incitement → Grievance,Incitement,Grievance,altrighters are already moving there . without legislation to force integration  all white / black areas are inevitable .,,
Incitement → Grievance,Incitement,Grievance,white genocide accelerates in france : at least 1 in 3 newborns are non-white | more : via,,
Incitement → Grievance,Incitement,Grievance,that vulnerability : the genetic recessiveness of the white race !,,
Incitement → Grievance,Incitement,Grievance,because white people don't need diversity . it is only a weakness to us .,,
Incitement → Grievance,Incitement,Grievance,getting beat up at us flag rallies would be great for our cause at this point . show how much they hate heritage white america,,
Incitement → Grievance,Incitement,Grievance,roy moore can help prevent race-slaughter by planned parenthood & the dnc white elites . his opponent,,
Incitement → Grievance,Incitement,Grievance,this is what the anti-white promotes ... multiculturalism sad :,,
Incitement → Stereotypes,Incitement,Stereotypes,jews mock white people all the time so i know they have a sense of humor . they should love this . too funny :),,
Incitement → Stereotypes,Incitement,Stereotypes,jews as a whole r enemies of christ  his followers  & white western civilization n general,,
