post,implicit_class,extra_implicit_class,category,label,true_label,predicted_label,correct
this is crazy. how do you give a loan to someone who can be deported at will ?,white_grievance,,Grievance,0,Grievance,Irony,False
liberal hippie bs ! go to the middle east and let's see your welcome strangers theroy !,irony,,Irony,4,Irony,Incitement,False
nonsense . monuments to evil still remain . washington jefferson they owned slaves it's good . white race might will never die due to ignorance,incitement,,Incitement,1,Incitement,Grievance,False
: euro tunnel could get closed thanks to african invaders ),inferiority,,Inferiority,3,Inferiority,Stereotypes,False
you cannot be pro white and still advocate for open borders and flooding white lands with lazy bludgers,stereotypical,,Stereotypes,2,Stereotypes,Inferiority,False
do you believe that all muslims are enemies of the united states and that all muslims must be expelled from the u.s.?,incitement,,Incitement,1,Incitement,Threats,False
her whole twitter history is crying about white people to white people on white peoples invented technology in our white founded country .,white_grievance,,Grievance,0,Grievance,Incitement,False
"the most important thing is immigration cuts! give more than a 50% cut! 80%! stop talking about merit this, merit that. talk about cuts!",incitement,,Incitement,1,Incitement,Threats,False
jews mock white people all the time so i know they have a sense of humor . they should love this . too funny :),incitement,,Incitement,1,Incitement,Stereotypes,False
": gop can """"turn off the federal spigot for #refugeeresettlement"""" it is up to us to make them",threatening,,Threats,5,Threats,Incitement,False
If men are so privileged and women have it so hard why are so many men choosing to live as females?,irony,,Irony,4,Irony,Inferiority,False
they have no rights as illegals,inferiority,,Inferiority,3,Inferiority,Grievance,False
If furries wish to identify as animals we should be allowed to hunt them.,irony,threatening,Irony,4,Irony,Inferiority,False
then raise taxes on the rich dems/repubs in congress who vote for this. no healthcare for illegals!!!,white_grievance,,Grievance,0,Grievance,Threats,False
jews as a whole r enemies of christ  his followers  & white western civilization n general,incitement,,Incitement,1,Incitement,Stereotypes,False
its my understanding that most abortions are by white women . judging from the surge in the non white population it,incitement,,Incitement,1,Incitement,Stereotypes,False
and germany is beating sweden in the race for white survival ! !,white_grievance,,Grievance,0,Grievance,Incitement,False
Whats tougher than a white man roaming the streets of Compton.... A dog roaming the streets of China,irony,,Irony,4,Irony,Inferiority,False
" try thinking of some of our ideas & replace jews do .. w  "" "" white males "" "" shouldn't & think .. """,white_grievance,,Grievance,0,Grievance,Incitement,False
What do you call two chimps that fall in love? Black people.,inferiority,,Inferiority,3,Inferiority,Irony,False
. best way to stop gun violence in america ? disarm all black people . #tcot #teaparty #sbpdl,stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
non whites already have groups to help them . the federal government  for instance .,white_grievance,,Grievance,0,Grievance,Incitement,False
indiana in washington dc to demand an end to the replacement of european americans !,white_grievance,,Grievance,0,Grievance,Incitement,False
What's the difference between a black person and a bucket of shit? The bucket.,inferiority,,Inferiority,3,Inferiority,Irony,False
give them jail time!,incitement,,Incitement,1,Incitement,Threats,False
homosexuality  gun grabbing  and fake nationalism is not cool .,incitement,,Incitement,1,Incitement,Stereotypes,False
whole foods jesus : god * * * white america : rev . jeff hood riles up the black lives matter crowd,irony,,Irony,4,Irony,Incitement,False
translated that means throw out all current immigration laws and open the borders to the masses.,irony,,Irony,4,Irony,Threats,False
" vile  hateful #jew calls for extermination of #whitepeople & admits  "" diversity "" "" is a code-word for #whitegenocide """,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
" #makeacelebrityirish samuel l jacknazi #samjacknazi  "" : happy #stpatricksday ; #ireland #aryan "" "" #racetogether # 8 """,irony,,Irony,4,Irony,Incitement,False
some racist libtards say that if #trump wins  they will move to #canada . that's pretty funny ! why move to a white country  and not #mexico ?,irony,,Irony,4,Irony,Grievance,False
america was meant to be a white country . jim crow was meant to preserve the america the founding fathers envisioned .,inferiority,,Inferiority,3,Inferiority,Incitement,False
and the fact that there were more white slaves in the middle east than black slaves in america,white_grievance,,Grievance,0,Grievance,Inferiority,False
" #altrightmeans  "" white supremacy "" "" is a recognition of white quality  and "" "" white privilege "" "" is simply white achievement . """,white_grievance,,Grievance,0,Grievance,Incitement,False
"arrest them all. no, really! do it!",incitement,,Incitement,1,Incitement,Threats,False
pastor mealy mouth should be reminded that white people did more to spread christianity than any other race !,white_grievance,,Grievance,0,Grievance,Incitement,False
If only Africa had more mosquito nets If only Africa had more mosquito nets then every year we could save millions of mosquitoes from dying needlessly from AIDs.,irony,,Irony,4,Irony,Inferiority,False
that's because whites aren't going to burn down the town when they don't get their way .,irony,,Irony,4,Irony,Grievance,False
i assume it's about how the africans freed themselves from evil whites owners . with . no . help . at . all .,irony,,Irony,4,Irony,Stereotypes,False
"Why can't you act like a normal person? You don't have Asperger's. There's nothing wrong with you. You're just looking for attention/excuses. If you'd just stop behaving so oddly, you wouldn't need to blame it on a disease.",inferiority,,Inferiority,3,Inferiority,Irony,False
" you're lying brazenly & you accuse us of  "" hate "" "" ? it is not hate to oppose jihad terror vs . ahmadis """,white_grievance,,Grievance,0,Grievance,Stereotypes,False
nature knows no equality . some people are more athletic than others . some people have higher iq than ot,stereotypical,,Stereotypes,2,Stereotypes,Inferiority,False
demokkkrats started the kkk and now they are starting a racist jihad against white cops ! demokkkrats are racism experts !,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
if you work hard & take responsibility - i'll give your job to a foreign worker who'll work for less #immigration #sotu,irony,,Irony,4,Irony,Inferiority,False
you hate like a jew . you are fixated on hating white christians like a jew .,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
absolutely  jews keep dying at the hands of white jews in order for the few je,white_grievance,,Grievance,0,Grievance,Stereotypes,False
"let it be the albatross around her neck for showing her true, globalist, anti-american colors. please replace her and ban killing elephants.. please. its just not you. they are beautiful animals, like us. kill a scourge, not an elephant. #nodaca",threatening,inferiority,Threats,5,Threats,Inferiority,False
he wasn't black  he was ( ( ( a fellow white person ) ) ),inferiority,,Inferiority,3,Inferiority,Stereotypes,False
xenophobia is not immoral . it's used an an insult and a way to try to shame people about their natural patterns of thought .,incitement,,Incitement,1,Incitement,Grievance,False
the scythians return for the remnant before they all head off to europe . #altright is going after the rest of our human capital : hahah real #israelites,incitement,,Incitement,1,Incitement,Stereotypes,False
why vet when you can close borders??? stuff vetting! #911 is good enough excuse to ban muzzas ok. do it so we can!,incitement,,Incitement,1,Incitement,Threats,False
minneapoliss first somali policeman murders white woman : no media racist uproar via,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
why your white be proud of your own race and look out for your own race just like obama looked out just for his own race,white_grievance,,Grievance,0,Grievance,Incitement,False
to me  it comes from other whites . whites with funny accents  that aren't from around here . rather than from poc .,stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
the white race is generous to a fault . non-whites take advantage of that all the time  then hate white people out of envy .,incitement,,Incitement,1,Incitement,Grievance,False
cuckservatives : yes  the alt-right are just a bunch ofracists,white_grievance,,Grievance,0,Grievance,Incitement,False
oprah knows what to do: kill white people ! ! ! #altrightrecent black on white and black on asian murders with oprah !,white_grievance,,Grievance,0,Grievance,Stereotypes,False
heather heyer is a martyr to a big fat lie concocted by the anti white liberal media & th,incitement,,Incitement,1,Incitement,Grievance,False
. will black people abdicate power and invite white people to repopulate #detroit ? #tcot #helpuswhitepeople #facingrace,white_grievance,,Grievance,0,Grievance,Incitement,False
"  "" : new zealand : white faces will soon be a minority via "" "" """,incitement,,Incitement,1,Incitement,Grievance,False
every prez disappoints . just do what is right . israel = good model for whites . i'm leery of jews  but wish them well in israel .,stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
"Yes, you're both. @kfuru16: My sister is a woman and Asian. She is the worst driver in America #notracist #notsexist",inferiority,,Inferiority,3,Inferiority,Irony,False
"Seeing prostitutes is morally wrong, but being one is not Why do women defend prostitutes while at the same time judging men for seeing them?",irony,,Irony,4,Irony,Stereotypes,False
: us will have a civil war . stupid white libs who call white people privileged and racist,incitement,,Incitement,1,Incitement,Grievance,False
"i may be powerless to stop trannies from sharing a locker room with my daughter, but gosh darn it i can get a lot of sons killed overseas!",irony,,Irony,4,Irony,Threats,False
you can expel white muslims too ! white christians is pretty much the basis of the identity .,incitement,,Incitement,1,Incitement,Grievance,False
Black people are like mitochondria They're the powerhouse of the cell,irony,,Irony,4,Irony,Inferiority,False
this has got to stop! petition2fire lopez attempt 2indoctrinate our kids!,white_grievance,,Grievance,0,Grievance,Threats,False
free speech for jews & anti-whites only,threatening,,Threats,5,Threats,Grievance,False
pro-whites r the target . antifa are tools of the system . further  antifa / blm are terrorist,incitement,,Incitement,1,Incitement,Grievance,False
merlan provides us with another example of why jews should be excluded from white countries #withjewswelose,incitement,,Incitement,1,Incitement,Stereotypes,False
"from rotherham to germany, the surrender of western civilization to the savages continues. we must defeat them.",threatening,,Threats,5,Threats,Inferiority,False
this makes me want to hang a large banner denoucing degeneracy at any lgbt story hour event . just sayin,stereotypical,,Stereotypes,2,Stereotypes,Inferiority,False
if he were white  the media would be demanding every white person in americapay the first black person they see 100 dollars,irony,,Irony,4,Irony,Grievance,False
: bloom thanks g * d that america is not an ethnostate then ponders various fake forms of unity that leave jew,stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
what they want is of little value in a land swarming with hostile non whites . race first ! all else is dross !,white_grievance,,Grievance,0,Grievance,Inferiority,False
fixation of jewish ppl as cause is just like when sjw blame white race 4 all harm,white_grievance,,Grievance,0,Grievance,Stereotypes,False
cuomo : do you like you ny state now  without white heterosexual christian republicans ?,white_grievance,,Grievance,0,Grievance,Incitement,False
" rt  "" : : non-white hate crime mob violence comes to finland ( video ) "" "" ; cultural enrichment ? """,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
are you a student and sick of the #antiwhite message on campus ? john us . #projectsiege,incitement,,Incitement,1,Incitement,Grievance,False
but you keep the jew as whites to help bolster your per capita numbers ... not once have you complained about jews being listed white,white_grievance,,Grievance,0,Grievance,Stereotypes,False
media blanch when mentions rising crime  but are all too happy to report #blacklivesmatter myths .,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
hispanic builder on the mexico wall : ' work is work ',stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
kill your just set white people back a 100 yrs and made race baiters look great !,threatening,,Threats,5,Threats,Grievance,False
you mean illegal immigrants? stop mixing legal immigrants who have nothing to fear with illegal immigrants on food stamps!,inferiority,,Inferiority,3,Inferiority,Irony,False
ur black kill him,stereotypical,,Stereotypes,2,Stereotypes,Threats,False
" rt :  "" i live in belfast ireland . i am an indigenous white celt . every week i see more and more non white "" "" 911 h ... """,white_grievance,,Grievance,0,Grievance,Incitement,False
auschwitz - april 1944 - the sick and disabled . : according to the fable of auschwitz  if you were not fit for ...,incitement,,Incitement,1,Incitement,Stereotypes,False
I don’t think I’m racist I love black people I think every family should have one,irony,inferiority,Irony,4,Irony,Inferiority,False
remove the reasons why illegals come here and illegals will self dep,threatening,,Threats,5,Threats,Incitement,False
"I wish GPS' had an avoid ghetto"" setting!""",inferiority,,Inferiority,3,Inferiority,Irony,False
low class  fat white chicks and black men  perfect together ! | chateau heartiste,stereotypical,,Stereotypes,2,Stereotypes,Inferiority,False
"white people don't exist, only black people do",irony,,Irony,4,Irony,Inferiority,False
"  "" : dr . david duke : the racial murder and rape of white women in america via "" "" """,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
here new nose is way better. less hasidic. makes her hair more blonde too apparently.,inferiority,,Inferiority,3,Inferiority,Irony,False
Does pedo bashing require a baseball bat?,threatening,,Threats,5,Threats,Irony,False
i can't. i'm trapped in black owned ohio!,inferiority,,Inferiority,3,Inferiority,Irony,False
i agree with everything . black people are more racist than white people . sorry but is the truth .. thank you for your truth .,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
so now we deport him for the 7th time so he can jump the fence again and kill again!,irony,,Irony,4,Irony,Threats,False
secure borders and impeach that's what you need to do. protect us! protect us!,incitement,,Incitement,1,Incitement,Threats,False
What do babies and black people have in common? Theyre both good for target practice,threatening,,Threats,5,Threats,Irony,False
i wish to god i could live in a white ethno state . imagine how peaceful and friendly it would be .,inferiority,,Inferiority,3,Inferiority,Incitement,False
i think we should also teach kids zionism and white guilt here in america,irony,,Irony,4,Irony,Incitement,False
"#mo, this is why y'all need to #draintheswamp, by voting claire out! . is running for u.s. senate. check him out! #mosen #ap4senate #fireclaire",threatening,,Threats,5,Threats,Incitement,False
good. just take back your citizens.,incitement,,Incitement,1,Incitement,Threats,False
jew killed by a non jew in isreal there is outrage . white children killed by non whites in a white country ; silence .,white_grievance,,Grievance,0,Grievance,Stereotypes,False
the southern poverty law center almost got me killed . why does the media still propagate its hate map ?,white_grievance,,Grievance,0,Grievance,Stereotypes,False
it's not okay to be white ... it's glorious .,incitement,,Incitement,1,Incitement,Grievance,False
he's the lowest form of white there is .,inferiority,,Inferiority,3,Inferiority,Incitement,False
jew caught and tortured rudolkf hoess : uncle ...,white_grievance,,Grievance,0,Grievance,Stereotypes,False
a white woman leading a bunch of violent black men ... no wonder white women want diversity . kinda like when lenin wanted the tsar dead .,incitement,,Incitement,1,Incitement,Stereotypes,False
jew activist anetta kahane wants to destroy europe via non-white immigration ( video ) via,inferiority,,Inferiority,3,Inferiority,Grievance,False
you're the kinda of slave mind white nationalist need . next they hang you .,threatening,,Threats,5,Threats,Stereotypes,False
"Just how Americans draw themselves slimmer. Japan does the same, they make anime have giant eyes while in reality they can’t see what their drawing",inferiority,,Inferiority,3,Inferiority,Irony,False
002 no country for white nationalist 2016-9- 20 by race and nation #fascism #nationalsocialism #altright #whitepride,white_grievance,,Grievance,0,Grievance,Incitement,False
so there is a pro-white and anti-white side . i choose pro .,white_grievance,,Grievance,0,Grievance,Incitement,False
pl . stop global jihad  save humanity,threatening,,Threats,5,Threats,Incitement,False
people are upset on the cow protection issue  pl . save your core support base  muslims do not vote for you,stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
"border security is irrelevant. only raise plus e-verify, together, is valuable enough to trade for """"dreamer"""" amnesty. else it's '86 again.",white_grievance,,Grievance,0,Grievance,Threats,False
what is the wall for if amnesty is granted!!!!!,incitement,,Incitement,1,Incitement,Threats,False
u realize all cultures captured n made slaves  that jew / arabs sold them n that white peopl,white_grievance,,Grievance,0,Grievance,Stereotypes,False
the evil bastard? what should i say? i feel sick. and now islam? good help us..,white_grievance,,Grievance,0,Grievance,Inferiority,False
"anywhere but where they are? back to their ancestral homelands, maybe?",inferiority,,Inferiority,3,Inferiority,Irony,False
What's is gained by one dead faggot Jew?,incitement,,Incitement,1,Incitement,Irony,False
Doing a Physics degree is no way to get yourself a husband!,inferiority,,Inferiority,3,Inferiority,Irony,False
& i discuss alt media  zionism  jewish supremacy  9/11  #brussels :,stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
fucking pay to send their ass back to where they came from. give to the veterans!,white_grievance,,Grievance,0,Grievance,Threats,False
" rt judge sentenced three  "" refugees "" "" to probation ( no jail time ) for rape of a 5 - year-old girl in idaho . national #media coverage ? of course not """,incitement,,Incitement,1,Incitement,Stereotypes,False
" rt  "" sanctuary cities are asylums from criminal illegals "" "" - . at #cpac2017 """,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
yet the only arrest made was a liberal  bernie voting  moslem . not one white trump voting racist . makes you think,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
altrighters are already moving there . without legislation to force integration  all white / black areas are inevitable .,incitement,,Incitement,1,Incitement,Grievance,False
suburbs are actually just well-constructed refugee camps for white people #altright,white_grievance,,Grievance,0,Grievance,Inferiority,False
"yes! wall sounds great. can keep mexicans from boats, tunnels and airplanes for a while longer? what about merpeople? wall off the ocean too",irony,,Irony,4,Irony,Threats,False
80 % of americans face near - #poverty . do you want a better america ? join the american #nazi party today,incitement,,Incitement,1,Incitement,Stereotypes,False
"it's mexifornia, land of hemp fields and socialistsvery anti-citizen and pro-illegals",irony,,Irony,4,Irony,Grievance,False
We have this huge military. Why don't we just go down there and create an ethno-state for whites. Most of the blacks weren't even there when South Africa was founded by whites!,threatening,,Threats,5,Threats,Incitement,False
this photo was taken after fields drove his car  isis-like  into the crowd . see the people lying on the ground ?,stereotypical,,Stereotypes,2,Stereotypes,Irony,False
hey wants to join  as he / she is the perfect racist seems 2hate white people  be gms'new friend,irony,,Irony,4,Irony,Grievance,False
"yes, and i think that their greater exposure to blacks is to account for much of this.",stereotypical,,Stereotypes,2,Stereotypes,Inferiority,False
and it's not a coincidence the best places to live are majority white,inferiority,,Inferiority,3,Inferiority,Incitement,False
" everyone isn't  "" comingling "" "" only white people and white countries have to "" "" comingle "" "" """,white_grievance,,Grievance,0,Grievance,Incitement,False
the bad hombres have already found other ways into our country.wake up,incitement,,Incitement,1,Incitement,Inferiority,False
all of their wokest fittest lads are gonna jump off that irrelevant bloated sinking ship,inferiority,,Inferiority,3,Inferiority,Threats,False
white genocide accelerates in france : at least 1 in 3 newborns are non-white | more : via,incitement,,Incitement,1,Incitement,Grievance,False
"this man is a hero and a legend he brought a flamethrower to a riot, the hood truely is an advanced civilization",irony,,Irony,4,Irony,Inferiority,False
telling it like it is  as always : be not ashamed  white male via,white_grievance,,Grievance,0,Grievance,Incitement,False
Hitler was a good doctor. He cured tons of disabilities.,inferiority,,Inferiority,3,Inferiority,Irony,False
white european jihad murderers are ok ?,irony,,Irony,4,Irony,Stereotypes,False
i want to save lives  cut costs  and save our major cities . and disarming black people is the most effective solution #nra,incitement,,Incitement,1,Incitement,Threats,False
yeah hopefully sweden can b saved . america is a lost cause few white people stand up .,white_grievance,,Grievance,0,Grievance,Incitement,False
yes  and give it to the white deserving poor .,inferiority,,Inferiority,3,Inferiority,Incitement,False
that vulnerability : the genetic recessiveness of the white race !,incitement,,Incitement,1,Incitement,Grievance,False
"You only got into [my university] because you're Native American AND Mexican. I had to work harder to get into this same honors program, and that's not fair.",white_grievance,,Grievance,0,Grievance,Inferiority,False
"both dolezal and the genderqueer lady talk about covering themselves in filth (mud), the alien guy is pictured in blue goo. hmmm",inferiority,,Inferiority,3,Inferiority,Irony,False
is it because muhammad was a white man ?,incitement,,Incitement,1,Incitement,Stereotypes,False
white british : minority within 50 years #swrm #white #whitegenocide #uk via,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
they are both jewish supremacist  anti-white and anti-christian hate groups .,white_grievance,,Grievance,0,Grievance,Stereotypes,False
because white people don't need diversity . it is only a weakness to us .,incitement,,Incitement,1,Incitement,Grievance,False
"free food, free rent, free healthcare, every man woman and child on the face of the earth receiving free ? priceless!",irony,,Irony,4,Irony,Inferiority,False
ct congress better enforce immigration law or quit giving them our tax money. gosh sakes,white_grievance,,Grievance,0,Grievance,Threats,False
agreed . the white race has built and invented every aspect of modern civilisation .,white_grievance,,Grievance,0,Grievance,Inferiority,False
hope in #hungary ! #rapefugees #refugees #wpww #whitegenocide,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
why would legal immigrants have anything to fear ? oh they must mean illegal aliens .,inferiority,,Inferiority,3,Inferiority,Stereotypes,False
not all government is bad . it is just a gross waste of taxpayer dollars to subsidize black people,inferiority,,Inferiority,3,Inferiority,Grievance,False
in chicago  there are billboards and benches in spanish  letting illegals know they have a right to not talk to immigration,white_grievance,,Grievance,0,Grievance,Incitement,False
how dare people of european decent want their civilisation to live on & flourish ! ! so unreasonable !,irony,,Irony,4,Irony,Inferiority,False
as a resident of another state in america you should be able to carry your firearms to protect yourself against sanctuary criminal cities,threatening,,Threats,5,Threats,Grievance,False
think for yourself for a change . i bet you think blm and antifa are peaceful .,white_grievance,,Grievance,0,Grievance,Incitement,False
koran = kill everything that is not muslimbible = kill no one,stereotypical,,Stereotypes,2,Stereotypes,Threats,False
get the white man #liberalismin4words,white_grievance,,Grievance,0,Grievance,Incitement,False
islamists embedded in white house ? #rt #stopislam #crusades #makedclisten #wakeupamerica,stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
german antifa call for the rape and genocide of ethnic germans | read more : via,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
"use daca as a bargaining chip to massively reduce immigration, end chain migration, enforce e-verify, and reform refugee resettlement.",incitement,,Incitement,1,Incitement,Threats,False
i get a racist vibe from u caroline not that ur white more like a lesser mexican country,inferiority,,Inferiority,3,Inferiority,Grievance,False
